h,model,baseline,n_origins,RMSE,RMSE_base,pct_vs_base,DM_t,DM_p,HLN_t,HLN_p
1,Gradient boosting,"ARIMA(1,1,1)",50,0.4543017690936965,0.5378995107206643,15.541516577132716,1.486354825961422,0.1371852919567047,1.4714162073613413,0.1475721789293487
1,Random forest,"ARIMA(1,1,1)",50,0.476833380215561,0.5378995107206643,11.352702370613514,1.6597929477377202,0.09695611296249829,1.6431111881953313,0.10676250184031288
1,Ridge,"ARIMA(1,1,1)",50,0.48628086111381014,0.5378995107206643,9.596336969650116,1.033286930073656,0.3014696418454259,1.022901873233117,0.3113779571726587
1,SVR (RBF),"ARIMA(1,1,1)",50,0.5682978820131318,0.5378995107206643,-5.651310456062787,-0.6346100667386272,0.5256827609939767,-0.6282319142401831,0.5327694208569276
1,Drift (24m mean),"ARIMA(1,1,1)",50,0.6267321460900076,0.5378995107206643,-16.514726932978157,-2.216149061294314,0.0266812951503399,-2.193875641105976,0.03301723782124277
1,Random walk (no change),"ARIMA(1,1,1)",50,0.7940018130108353,0.5378995107206643,-47.6115514489038,-3.210724101829042,0.00132400986374126,-3.178454698891364,0.0025652315175903606
3,Gradient boosting,"ARIMA(1,1,1)",50,1.1612688084233973,1.4827809265555667,21.683049220158743,3.0523423526922295,0.002270629666954571,2.899564581009734,0.005578569884877815
3,Ridge,"ARIMA(1,1,1)",50,1.2544215427251708,1.4827809265555667,15.400750019145745,2.462654510153364,0.013791273627603573,2.339392167659827,0.02343541560870266
3,Random forest,"ARIMA(1,1,1)",50,1.284713396816823,1.4827809265555667,13.357841754738894,3.031869000191366,0.0024304465646962647,2.880115973708633,0.005880562138265155
3,SVR (RBF),"ARIMA(1,1,1)",50,1.574986733323089,1.4827809265555667,-6.218437607078757,-0.6451400550343483,0.5188364286351956,-0.6128490966022657,0.542810208579168
3,Drift (24m mean),"ARIMA(1,1,1)",50,1.6797554415162723,1.4827809265555667,-13.284127913505642,-2.3819522889567497,0.017221128488470905,-2.262729305126035,0.028119642803618783
3,Random walk (no change),"ARIMA(1,1,1)",50,2.226779494060583,1.4827809265555667,-50.17589275533046,-3.466274393183395,0.000527724410671615,-3.2927782329759525,0.001845655474786767
6,Gradient boosting,"ARIMA(1,1,1)",49,2.499885933271777,2.814882862738741,11.190409861690933,1.6624772589633277,0.09641711935708663,1.475775170889839,0.1465345226012984
6,Random forest,"ARIMA(1,1,1)",49,2.574044152574787,2.814882862738741,8.5559052332867,1.1683267308880656,0.24267499690505634,1.0371194984084504,0.30487677839154315
6,Ridge,"ARIMA(1,1,1)",49,2.6966249448773127,2.814882862738741,4.201166571683533,0.5978788132257524,0.549920797654931,0.5307349035919127,0.5980496656906493
6,Drift (24m mean),"ARIMA(1,1,1)",49,2.9841023192941374,2.814882862738741,-6.011598521394743,-0.9512778384028678,0.3414633538995526,-0.8444459657800809,0.4026095187349785
6,SVR (RBF),"ARIMA(1,1,1)",49,3.1926044970151373,2.814882862738741,-13.418733663001936,-1.1034060890693094,0.2698508535870441,-0.9794896747475264,0.3322492738218865
6,Random walk (no change),"ARIMA(1,1,1)",49,4.131651818798143,2.814882862738741,-46.778818880521754,-3.251811151560617,0.0011467218507232868,-2.886621234679826,0.005820950641620248
12,Gradient boosting,Drift (24m mean),48,4.8519893573817106,5.150571465858462,5.797067576985578,0.7375623358809483,0.4607804500807673,0.5608020675569828,0.5775963824971466
12,Random forest,Drift (24m mean),48,5.046773067356066,5.150571465858462,2.015279259601464,0.27669024479589704,0.7820179630742492,0.21038013169294056,0.8342804104789059
12,Ridge,Drift (24m mean),48,5.517349256586303,5.150571465858462,-7.1211086606427365,-0.9172266353426112,0.35902389224879583,-0.697408976156693,0.48898257732793526
12,"ARIMA(1,1,1)",Drift (24m mean),48,5.758475293870107,5.150571465858462,-11.802648153535001,-1.4486407770125969,0.147437927324493,-1.1014672297842902,0.2763022992058055
12,SVR (RBF),Drift (24m mean),48,6.031667706947391,5.150571465858462,-17.106766636079936,-1.4926089617557847,0.13553957611904055,-1.1348982331194268,0.2621728045271696
12,Random walk (no change),Drift (24m mean),48,7.682447190535704,5.150571465858462,-49.15718074121016,-3.5688562965126085,0.00035854300997595345,-2.7135631695557207,0.009275120975468454
